# Timestamp(ns);angle_cmd
1687075771361939456.000000;-23.488873
1687075771369342208.000000;-21.961645
1687075771379950336.000000;-34.466877
1687075771390637312.000000;-33.077145
1687075771400790784.000000;-31.722242
1687075771409780736.000000;-30.440897
1687075771419824896.000000;-28.831581
1687075771430061568.000000;-27.403473
1687075771439143936.000000;-26.178787
1687075771449689344.000000;-25.051233
1687075771461261312.000000;-23.978735
1687075771470936832.000000;-22.702564
1687075771480049920.000000;-35.548889
1687075771490195456.000000;-34.292454
1687075771499205888.000000;-32.962498
1687075771511670016.000000;-31.639091
1687075771520428800.000000;-29.785297
1687075771529718528.000000;-28.168793
1687075771539842816.000000;-26.744299
1687075771550115840.000000;-25.461639
1687075771560251392.000000;-24.182835
1687075771570103296.000000;-22.541826
1687075771579464448.000000;-35.145447
1687075771589481984.000000;-33.683853
1687075771599574272.000000;-32.301407
1687075771609542400.000000;-30.830950
1687075771618898176.000000;-29.060030
1687075771629546496.000000;-27.482639
1687075771639450112.000000;-26.096426
1687075771649965824.000000;-24.756691
1687075771660940544.000000;-23.534882
1687075771670942208.000000;-22.052023
1687075771679840256.000000;-34.782196
1687075771690177024.000000;-34.455948
1687075771700332032.000000;-32.200523
1687075771709932800.000000;-30.897604
1687075771719393792.000000;-29.102615
1687075771729889536.000000;-27.595884
1687075771739383040.000000;-28.228106
1687075771750055424.000000;-27.045067
1687075771761153536.000000;-23.403152
1687075771769888512.000000;-21.757524
1687075771779655936.000000;-34.276455
1687075771789327104.000000;-33.885315
1687075771799757312.000000;-32.634899
1687075771809592064.000000;-29.888119
1687075771819731456.000000;-30.030701
1687075771830001152.000000;-28.866682
1687075771839972352.000000;-27.747446
1687075771850612736.000000;-26.656176
1687075771861637888.000000;-25.637808
1687075771870141184.000000;-24.240253
1687075771879437568.000000;-34.924057
1687075771889798912.000000;-33.709003
1687075771899692032.000000;-32.474533
1687075771910830336.000000;-31.285278
1687075771920655360.000000;-29.817835
1687075771930235904.000000;-28.573555
1687075771940079104.000000;-27.256901
1687075771949691904.000000;-26.008577
1687075771959948032.000000;-24.794357
1687075771970007552.000000;-35.284691
1687075771979619072.000000;-33.973305
1687075771989480960.000000;-32.723061
1687075771999637248.000000;-31.537888
1687075772009804544.000000;-30.356808
1687075772019805696.000000;-29.179827
1687075772029945600.000000;-28.001049
1687075772039423744.000000;-26.961061
1687075772049747712.000000;-25.936806
1687075772061904640.000000;-24.834469
1687075772069394688.000000;-23.464436
1687075772079921408.000000;-34.046860
1687075772091102208.000000;-32.852734
1687075772099714560.000000;-31.712643
1687075772110868480.000000;-30.617559
1687075772122070784.000000;-29.486996
1687075772129646336.000000;-27.502569
1687075772139470336.000000;-26.316847
1687075772149218816.000000;-25.131092
1687075772160364800.000000;-24.066502
1687075772170125568.000000;-22.647074
1687075772179998208.000000;-33.130417
1687075772189630208.000000;-31.819000
1687075772200045568.000000;-30.550062
1687075772209393920.000000;-29.301224
1687075772219696896.000000;-27.960348
1687075772230969600.000000;-26.781113
1687075772239742720.000000;-25.584976
1687075772249122560.000000;-24.484816
1687075772261184768.000000;-23.379114
1687075772270595584.000000;-33.910309
1687075772279914240.000000;-32.632988
1687075772292299776.000000;-31.447189
1687075772300767488.000000;-30.284058
1687075772311154688.000000;-29.092596
1687075772320718592.000000;-27.812307
1687075772329630208.000000;-26.591280
1687075772339315968.000000;-25.467813
1687075772350584320.000000;-24.320938
1687075772360080640.000000;-23.178057
1687075772369748224.000000;-33.725739
1687075772379362560.000000;-32.411449
1687075772389892608.000000;-31.156618
1687075772400700928.000000;-29.894728
1687075772411065600.000000;-28.679089
1687075772419885056.000000;-27.530443
1687075772429947136.000000;-26.351551
1687075772439453952.000000;-25.266310
1687075772450072064.000000;-24.160553
1687075772461144064.000000;-23.045784
1687075772470549760.000000;-33.737972
1687075772479164160.000000;-32.541557
1687075772490170368.000000;-31.350176
1687075772499463168.000000;-30.169792
1687075772510692096.000000;-29.042797
1687075772519455232.000000;-27.923298
1687075772529642496.000000;-26.832706
1687075772539773440.000000;-25.719576
1687075772549706496.000000;-24.609011
1687075772560143104.000000;-23.517813
1687075772569613568.000000;-34.199078
1687075772579342336.000000;-32.790478
1687075772589876480.000000;-31.482769
1687075772599322368.000000;-30.183006
1687075772610243584.000000;-28.938673
1687075772619618560.000000;-27.713556
1687075772629743616.000000;-26.449488
1687075772640275968.000000;-25.250807
1687075772650873088.000000;-24.124371
1687075772660131328.000000;-35.166161
1687075772671060480.000000;-33.800106
1687075772679342336.000000;-32.584347
1687075772690942208.000000;-31.406761
1687075772700967936.000000;-30.222298
1687075772711053568.000000;-29.104633
1687075772720300544.000000;-27.804697
1687075772729986304.000000;-26.513206
1687075772739422720.000000;-37.600147
1687075772749702144.000000;-36.276806
1687075772770578432.000000;-34.631413
1687075772772797184.000000;-33.401371
1687075772779908864.000000;-31.990864
1687075772790055424.000000;-30.659956
1687075772799596288.000000;-29.398245
1687075772810436608.000000;-28.209837
1687075772819259904.000000;-26.809132
1687075772830166784.000000;-25.522654
1687075772840188928.000000;-36.622257
1687075772850953984.000000;-35.317215
1687075772862465536.000000;-34.023540
1687075772869569280.000000;-32.578796
1687075772879205376.000000;-31.273090
1687075772891201280.000000;-30.043468
1687075772901166336.000000;-28.798353
1687075772911145216.000000;-27.517189
1687075772919802880.000000;-26.180105
1687075772930273536.000000;-37.286285
1687075772939215616.000000;-35.819355
1687075772950649344.000000;-34.381588
1687075772960975616.000000;-32.973167
1687075772969599488.000000;-31.372320
1687075772979802368.000000;-29.997364
1687075772990156800.000000;-28.604160
1687075772999729152.000000;-27.322041
1687075773010136576.000000;-26.021414
1687075773020698880.000000;-24.729414
1687075773030680576.000000;-23.436573
1687075773039428352.000000;-22.283144
1687075773050159104.000000;-20.958452
1687075773060090880.000000;-31.570930
1687075773071053056.000000;-29.973112
1687075773078958080.000000;-28.449448
1687075773090182912.000000;-27.117397
1687075773099790336.000000;-25.915087
1687075773111299584.000000;-24.687458
1687075773121296128.000000;-23.422482
1687075773130170880.000000;-22.242832
1687075773141175808.000000;-21.150000
1687075773149811968.000000;-31.950275
1687075773159913472.000000;-30.710754
1687075773170021632.000000;-29.419699
1687075773179582976.000000;-28.317265
1687075773190719488.000000;-27.302336
1687075773199176704.000000;-26.304541
1687075773217488896.000000;-25.307310
1687075773219596032.000000;-36.464397
1687075773229602048.000000;-35.243450
1687075773240534272.000000;-34.099640
1687075773249677824.000000;-32.908585
1687075773261699072.000000;-31.652859
1687075773270920192.000000;-30.536659
1687075773279929856.000000;-29.590792
1687075773289790208.000000;-28.542522
1687075773300301824.000000;-27.488270
1687075773312241664.000000;-38.995064
1687075773320885760.000000;-37.576580
1687075773329789440.000000;-36.283043
1687075773339565056.000000;-34.871208
1687075773349652480.000000;-33.512379
1687075773360889600.000000;-32.204693
1687075773370550016.000000;-30.821789
1687075773379448064.000000;-29.466301
1687075773389299712.000000;-28.143181
1687075773399116032.000000;-39.395611
1687075773410662656.000000;-37.996361
1687075773419607040.000000;-36.383514
1687075773429725184.000000;-34.859188
1687075773440352000.000000;-33.395210
1687075773450181376.000000;-32.008446
1687075773462318592.000000;-30.683470
1687075773469923328.000000;-29.119715
1687075773479555072.000000;-27.776367
1687075773490182912.000000;-38.847363
1687075773499571200.000000;-37.411522
1687075773509971712.000000;-35.993446
1687075773520575744.000000;-34.261742
1687075773529474048.000000;-32.757580
1687075773539845376.000000;-31.325312
1687075773550722048.000000;-29.967512
1687075773561065472.000000;-28.575195
1687075773569722624.000000;-27.003881
1687075773579506176.000000;-37.630527
1687075773590517248.000000;-36.161869
1687075773600243712.000000;-34.656826
1687075773609795584.000000;-33.153740
1687075773620892160.000000;-31.514721
1687075773630216960.000000;-30.028494
1687075773640666368.000000;-28.580042
1687075773651258880.000000;-27.230284
1687075773661323264.000000;-25.855858
1687075773669845504.000000;-35.996819
1687075773680265472.000000;-34.539970
1687075773690778112.000000;-33.114925
1687075773701498624.000000;-31.686396
1687075773712706816.000000;-30.328585
1687075773719842816.000000;-28.815994
1687075773730720256.000000;-27.410975
1687075773740259072.000000;-26.051357
1687075773749813248.000000;-24.702213
1687075773762017280.000000;-34.522476
1687075773770848768.000000;-32.842007
1687075773779456256.000000;-31.265162
1687075773789479936.000000;-29.818819
1687075773799392512.000000;-28.450970
1687075773810348800.000000;-27.085442
1687075773819702784.000000;-25.590048
1687075773830095360.000000;-24.319086
1687075773840158720.000000;-23.056833
1687075773849748224.000000;-32.357357
1687075773861385472.000000;-21.781830
1687075773871758336.000000;-29.397024
1687075773879510016.000000;-28.097336
1687075773890559232.000000;-26.864786
1687075773899677184.000000;-25.571037
1687075773910694400.000000;-24.330933
1687075773920769792.000000;-23.041168
1687075773930474752.000000;-31.945478
1687075773939893760.000000;-30.648062
1687075773949986304.000000;-29.371126
1687075773959564800.000000;-28.182110
1687075773970204672.000000;-26.812840
1687075773980178432.000000;-25.542641
1687075773990317056.000000;-24.323637
1687075774000340992.000000;-23.138731
1687075774011651584.000000;-22.084827
1687075774019289344.000000;-20.912653
1687075774031372800.000000;-19.720932
1687075774040360704.000000;-18.436312
1687075774050011136.000000;-26.417833
1687075774061847808.000000;-25.168571
1687075774069796608.000000;-23.764662
1687075774079378432.000000;-22.572283
1687075774090239744.000000;-21.501089
1687075774100322048.000000;-20.378563
1687075774111053824.000000;-19.223619
1687075774121847808.000000;-18.044537
1687075774131025920.000000;-17.268606
1687075774139353600.000000;-25.047277
1687075774151303936.000000;-23.999378
1687075774160175616.000000;-22.996653
1687075774169812992.000000;-21.940027
1687075774179659520.000000;-21.001812
1687075774190722816.000000;-20.114433
1687075774200009472.000000;-19.133448
1687075774210926592.000000;-18.226410
1687075774219971072.000000;-25.601442
1687075774229622784.000000;-24.607502
1687075774240674048.000000;-23.614143
1687075774250845696.000000;-22.663244
1687075774260122368.000000;-21.693472
1687075774270362368.000000;-20.764862
1687075774279605760.000000;-19.936262
1687075774290967296.000000;-27.003937
1687075774301232896.000000;-26.042421
1687075774310950400.000000;-25.121811
1687075774319808000.000000;-24.091524
1687075774331155712.000000;-23.129372
1687075774339957760.000000;-22.242346
1687075774349625344.000000;-21.463112
1687075774361233920.000000;-20.186255
1687075774370429952.000000;-19.267580
1687075774379808000.000000;-25.573771
1687075774390811136.000000;-24.592770
1687075774399699968.000000;-23.506483
1687075774411203840.000000;-22.370554
1687075774419882240.000000;-21.101900
1687075774431245824.000000;-20.025713
1687075774440875008.000000;-18.938065
1687075774450445312.000000;-16.542131
1687075774461193216.000000;-15.566037
1687075774471245056.000000;-20.956894
1687075774480021760.000000;-19.987585
1687075774490474752.000000;-19.027876
1687075774499604224.000000;-18.140234
1687075774512615680.000000;-17.252590
1687075774522565120.000000;-16.300280
1687075774530068736.000000;-11.920472
1687075774541087744.000000;-16.070923
1687075774551088128.000000;-15.197984
1687075774560735232.000000;-14.359416
1687075774570350592.000000;-13.366214
1687075774579960064.000000;-12.416258
1687075774589915648.000000;-11.512612
1687075774604209152.000000;-10.704245
1687075774610276864.000000;-9.875716
1687075774620108800.000000;-7.366099
1687075774630621440.000000;-6.640818
1687075774640022272.000000;-5.952671
1687075774650698496.000000;-5.231577
1687075774662755584.000000;-4.658339
1687075774671196160.000000;-4.082532
1687075774680208896.000000;-3.674053
1687075774689710848.000000;-3.271049
1687075774700971520.000000;-4.869801
1687075774712487936.000000;1.743953
1687075774721097984.000000;2.041355
1687075774730920448.000000;2.342628
1687075774740028416.000000;2.539549
1687075774750611200.000000;2.766941
1687075774762275584.000000;2.652204
1687075774771010304.000000;2.860769
1687075774781083136.000000;2.924963
1687075774791083776.000000;3.038255
1687075774800334080.000000;14.087830
1687075774809980672.000000;14.143872
1687075774819655424.000000;13.940775
1687075774829751040.000000;13.696600
1687075774839638528.000000;13.520473
