# Timestamp(ns);gear_cmd;accelerator_cmd;brake_cmd
1687076047470401280.000000;1.000000;-5.263158;0.000000
1687076047530929664.000000;1.000000;-5.263158;0.000000
1687076047591189504.000000;1.000000;-5.263158;0.000000
1687076047630732288.000000;1.000000;-5.263158;0.000000
1687076047671014912.000000;1.000000;-5.263158;0.000000
1687076047753990144.000000;1.000000;-5.263158;0.000000
1687076047770810880.000000;1.000000;-5.263158;0.000000
1687076047851727872.000000;1.000000;-5.263158;0.000000
1687076047870286336.000000;1.000000;-5.263158;0.000000
1687076047930982400.000000;1.000000;-5.263158;0.000000
1687076047970749440.000000;1.000000;-5.263158;0.000000
1687076048051302912.000000;1.000000;-5.263158;0.000000
1687076048071797504.000000;1.000000;-5.263158;0.000000
1687076048131798784.000000;1.000000;-5.263158;0.000000
1687076048190488832.000000;1.000000;-5.263158;0.000000
1687076048230406144.000000;1.000000;-5.263158;0.000000
1687076048311685888.000000;1.000000;-5.263158;0.000000
1687076048371236864.000000;1.000000;-5.263158;0.000000
1687076048410474496.000000;1.000000;-5.263158;0.000000
1687076048450811904.000000;1.000000;-5.263158;0.000000
1687076048491502848.000000;1.000000;-5.263158;0.000000
1687076048530263808.000000;1.000000;-5.263158;0.000000
1687076048590294784.000000;1.000000;-5.263158;0.000000
1687076048650990592.000000;1.000000;-5.263158;0.000000
1687076048670716416.000000;1.000000;-5.263158;0.000000
1687076048730353152.000000;1.000000;-5.263158;0.000000
1687076048790516992.000000;1.000000;-5.263158;0.000000
1687076048830776832.000000;1.000000;-5.263158;0.000000
1687076048891386368.000000;1.000000;-5.263158;0.000000
1687076048931876352.000000;1.000000;-5.263158;0.000000
1687076049012034560.000000;1.000000;-5.263158;0.000000
1687076049050602496.000000;1.000000;-5.263158;0.000000
1687076049090735104.000000;1.000000;-5.263158;0.000000
1687076049131287808.000000;1.000000;-5.263158;0.000000
1687076049170817280.000000;1.000000;-5.263158;0.000000
1687076049260960256.000000;1.000000;-5.263158;0.000000
1687076049291844096.000000;1.000000;-5.263158;0.000000
1687076049353442560.000000;1.000000;-5.263158;0.000000
1687076049391929088.000000;1.000000;-5.263158;0.000000
1687076049471509504.000000;1.000000;-5.263158;0.000000
1687076049530384640.000000;1.000000;-5.263158;0.000000
1687076049570960384.000000;1.000000;-5.263158;0.000000
1687076049670818304.000000;1.000000;-5.263158;0.000000
1687076049752344320.000000;1.000000;-5.263158;0.000000
1687076049811503104.000000;1.000000;-5.263158;0.000000
1687076049851446272.000000;1.000000;-5.263158;0.000000
1687076049891229696.000000;1.000000;-5.263158;0.000000
1687076049931586816.000000;1.000000;-5.263158;0.000000
1687076049990347776.000000;1.000000;-5.263158;0.000000
1687076050031506944.000000;1.000000;-5.263158;0.000000
1687076050070661632.000000;1.000000;-5.263158;0.000000
1687076050130716416.000000;1.000000;-5.263158;0.000000
1687076050172109312.000000;1.000000;-5.263158;0.000000
1687076050231151360.000000;1.000000;-5.263158;0.000000
1687076050290720768.000000;1.000000;-5.263158;0.000000
1687076050350862080.000000;1.000000;-5.263158;0.000000
1687076050392636672.000000;1.000000;-5.263158;0.000000
1687076050450407168.000000;1.000000;-5.263158;0.000000
1687076050470662912.000000;1.000000;-5.263158;0.000000
1687076050530396160.000000;1.000000;-5.263158;0.000000
1687076050570681856.000000;1.000000;-5.263158;0.000000
1687076050630238976.000000;1.000000;-5.263158;0.000000
1687076050671517440.000000;1.000000;-5.263158;0.000000
1687076050730605568.000000;1.000000;-5.263158;0.000000
1687076050770494208.000000;1.000000;-5.263158;0.000000
1687076050831407360.000000;1.000000;-5.263158;0.000000
1687076050870220800.000000;1.000000;-5.263158;0.000000
1687076050952207104.000000;1.000000;-5.263158;0.000000
1687076050970476032.000000;1.000000;-5.263158;0.000000
1687076051031161344.000000;1.000000;-5.263158;0.000000
1687076051070289920.000000;1.000000;-5.263158;0.000000
1687076051130971392.000000;1.000000;-5.263158;0.000000
1687076051170573824.000000;1.000000;-5.263158;0.000000
1687076051251495936.000000;1.000000;-5.263158;0.000000
1687076051271404544.000000;1.000000;-5.263158;0.000000
1687076051331495168.000000;1.000000;-5.263158;0.000000
1687076051390152192.000000;1.000000;-5.263158;0.000000
1687076051431649024.000000;1.000000;-5.263158;0.000000
1687076051490396160.000000;1.000000;-5.263158;0.000000
1687076051530766592.000000;1.000000;-5.263158;0.000000
1687076051570802944.000000;1.000000;-5.263158;0.000000
1687076051631643136.000000;1.000000;-5.263158;0.000000
1687076051690787072.000000;1.000000;-5.263158;0.000000
1687076051730114560.000000;1.000000;-5.263158;0.000000
1687076051771019008.000000;1.000000;-5.263158;0.000000
1687076051830711040.000000;1.000000;-5.263158;0.000000
1687076051890994432.000000;1.000000;-5.263158;0.000000
1687076051930796288.000000;1.000000;-5.263158;0.000000
1687076051990667776.000000;1.000000;-5.263158;0.000000
